question,answer
"Can you help me find addresses that have an ETH and ERC20 token balance of at least $1,000,000?","SELECT
     address
FROM
    wired_address_dataset
WHERE b_type='DeFi'
        AND statistical_type='token'
        AND platform_name='ALLNET'
        AND action ='ALL'
        AND asset = 'ALL'
        AND balance_usd >= 1000000
GROUP BY address"
Who are the top 18% of traders based on the volume of ETH and ERC20 token trades?,"SELECT
  address
FROM
  (
    SELECT
      address
    FROM
      wired_address_dataset
    WHERE
      b_type = 'DeFi'
      AND statistical_type = 'token'
      AND platform_name = 'ALLNET'
      AND action = 'ALL'
      AND asset = 'ALL'
      AND transaction_volume_usd > 0
    ORDER BY
      transaction_volume_usd DESC
    LIMIT
      (
        SELECT
          floor(COUNT(DISTINCT address) * 0.18)
        FROM
          wired_address_dataset
        WHERE
          b_type = 'DeFi'
          AND statistical_type = 'token'
          AND platform_name = 'ALLNET'
          AND action = 'ALL'
          AND asset = 'ALL'
          AND transaction_volume_usd > 0
      )
  ) a
GROUP BY
  address"
Can you provide the name of the account with an NFT activity count of at least 619?,"SELECT
  address
FROM
  wired_address_dataset
WHERE
  b_type = 'nft'
  AND statistical_type = 'nft'
  AND platform_name = 'ALLNET'
  AND asset = 'ALL'
  AND action = 'ALL'
  AND transaction_count >= 619
  GROUP BY address"
Are there many accounts on Mirror have an NFT activity count of at least 619?,"select
address
from wired_address_dataset
where b_type='web3'
and statistical_type='web3'
and platform_name='Mirror'
and action='ALL'
and asset='ALL'
and transaction_count>=619
GROUP BY address"
"Please show me the users with an ETH/USDT balance of at least
 $1,000,000,000 on Uniswap.","select
address
from 
(select 
    address
    ,sum(balance_usd) balance_usd
         from wired_address_dataset
         where b_type='DeFi'
         and statistical_type='LP'
         and platform_name in ('Uniswap_v2','Uniswap_v3')
         and action='ALL'
         and asset='ETH/USDT'
       group by address) t
where balance_usd>=1000000000
GROUP BY address"
Which addresses have ETH balances longer than 155 days?,"SELECT
   address
FROM
    wired_address_dataset
WHERE
    b_type = 'DeFi'
    AND statistical_type = 'token'
    AND platform_name = 'ALLNET'
    AND action = 'ALL'
    AND asset = 'ALL'
    AND asset = 'ETH'
    AND days > 155 
GROUP BY address"
Which addresses have at least $1000 (Erc20 Token) balances?,"SELECT
  address
FROM
    wired_address_dataset
WHERE
    asset not in ('ALL','ETH')
    AND b_type = 'DeFi'
    AND statistical_type = 'token'
    AND platform_name = 'ALLNET'
    AND action = 'ALL'
    AND balance_usd >= 1000
GROUP BY address"
"which address  Made trades on Uniswap, and is in the top 10% in number of (Erc20 Token) swap volume traded.","SELECT  address
FROM
(SELECT  address
  ,sum(transaction_volume_usd) transaction_volume_usd
FROM wired_address_dataset
WHERE b_type = 'DeFi'
 AND statistical_type = 'token'
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL'
 AND asset not in  ( 'ALL','ETH')
 group by address) a
 where transaction_volume_usd>0
ORDER BY transaction_volume_usd DESC
LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.1)  from (SELECT  address
  ,sum(transaction_volume_usd) transaction_volume_usd
FROM wired_address_dataset
WHERE b_type = 'DeFi'
 AND statistical_type = 'token'
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL'
 AND asset not in  ( 'ALL','ETH')
 group by address) b
 where transaction_volume_usd>0)"
Which users have more than 100 NFTs?,"SELECT
    address
FROM
    wired_address_dataset
WHERE
    b_type = 'nft'
    AND statistical_type = 'nft'
    AND platform_name = 'ALLNET'
    AND asset = 'ALL'
    AND action = 'ALL'
    AND balance_count > 100
GROUP BY address"
Who has collected NFTs and is in the top 10% in terms of the number of NFTs collected?,"SELECT
          address
      FROM
          wired_address_dataset
      WHERE
          b_type = 'nft'
          AND statistical_type = 'nft'
          AND platform_name = 'ALLNET'
          AND asset = 'ALL'
          AND action = 'ALL'
         AND balance_count > 0
      ORDER BY
          balance_count DESC
      LIMIT (
          SELECT
              floor(COUNT(DISTINCT address) * 0.1)
          FROM
              wired_address_dataset
          WHERE
              b_type = 'nft'
              AND statistical_type = 'nft'
              AND platform_name = 'ALLNET'
              AND asset = 'ALL'
              AND action = 'ALL'
              AND balance_count > 0
      )"
Which account has an NFT activity count at least 10?,"SELECT
    address
FROM
    wired_address_dataset
WHERE
    b_type = 'nft'
    AND statistical_type = 'nft'
    AND platform_name = 'ALLNET'
    AND asset = 'ALL'
    AND action = 'ALL'
    AND transaction_count >= 10
GROUP BY address"
Which users have an NFT buying Volume count of over 200?,"SELECT
  address
FROM
    wired_address_dataset
WHERE
    b_type = 'nft'
    AND statistical_type = 'nft'
    AND platform_name = 'ALLNET'
    AND asset = 'ALL'
    AND action = 'Buy'
    AND transaction_volume_usd > 200
GROUP BY address"
Who is the user with an NFT buying activity count between 400 to 619 on all Marketplaces?,"SELECT
 address
FROM
    wired_address_dataset
WHERE
    b_type = 'nft'
    AND statistical_type = 'nft'
    AND platform_name = 'ALL'
    AND asset = 'ALL'
    AND action = 'Buy'
    AND transaction_count  BETWEEN 400
    AND 619
GROUP BY address"
Who has a CryptoPunks volume count of over 200?,"SELECT
    address
FROM
    wired_address_dataset
WHERE
    b_type = 'nft'
    AND statistical_type = 'nft'
    AND platform_name = 'ALLNET'
    AND asset = 'CryptoPunks'
    AND action = 'ALL'
    AND transaction_volume_usd  > 200
GROUP BY address"
Who has a CryptoPunks burning volume count of over 200?,"SELECT
    address
FROM
    wired_address_dataset
WHERE
    b_type = 'nft'
    AND statistical_type = 'nft'
    AND platform_name = 'ALLNET'
    AND asset = 'CryptoPunks'
    AND action = 'Burn'
    AND transaction_volume_usd  > 200
GROUP BY address"
which accounts in the Web3 industry have an activity at least 619?,"SELECT
    address
FROM
    wired_address_dataset
WHERE
    b_type = 'web3'
    AND statistical_type = 'web3'
    AND platform_name = 'ALL'
    AND action = 'ALL'
   AND asset='ALL'
    AND transaction_count >= 619
GROUP BY address"
which accounts in the Web3 industry have an NFT Recipient activity count over 10,"SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'ALL'
 AND asset='ALL'
  AND action = 'NFT Recipient'
  AND transaction_count >= 10
GROUP BY address"
Can you show me the accounts in the Web3 industry have an article count of over 100 on Mirror?,"SELECT address
          FROM wired_address_dataset
          WHERE b_type = 'web3'
            AND statistical_type = 'web3'
            AND platform_name = 'Mirror'
            AND action = 'write'
            AND asset = 'ALL'
            AND transaction_count > 100
GROUP BY address"
Can you show me the accounts on Mirror have an NFT Recipient count of over 100?,"SELECT address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Mirror'
  AND action = 'NFT Recipient'
  AND asset = 'ALL'
  AND transaction_count > 100
GROUP BY address"
Can you show me the accounts on Gitcoin have an activity count of at least 619?,"SELECT  address
FROM wired_address_dataset
WHERE b_type = 'web3'
  AND statistical_type = 'web3'
  AND platform_name = 'Gitcoin'
  AND action = 'ALL'
  AND asset = 'ALL'
  AND transaction_count >= 619
GROUP BY address"
Could you send me the top 100 addresses that have been the fastest to enter ETH/USDT the liquidity pools on Uniswap?,"SELECT address
FROM wired_address_dataset
WHERE b_type = 'DeFi'
  AND statistical_type = 'LP'
  AND platform_name IN ('Uniswap_v2', 'Uniswap_v3')
  AND action = 'ALL'
  AND asset = 'ETH/USDT'
ORDER BY first_tx_time ASC
LIMIT 100"
What are the addresses that are in the top 10% of all existing Ethereum accounts regarding the account's ETH/USDT balance on Uniswap?,"SELECT  address
FROM
(SELECT  address
  ,sum(balance_usd) balance_usd
FROM wired_address_dataset
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'ETH/USDT'
 group by  address) b
 where balance_usd > 0
ORDER BY balance_usd DESC
LIMIT (SELECT floor(COUNT(DISTINCT address) * 0.1) FROM 
(SELECT  address
  ,sum(balance_usd) balance_usd
FROM wired_address_dataset
WHERE
 b_type = 'DeFi' 
 AND statistical_type = 'LP' 
 AND platform_name in ('Uniswap_v2','Uniswap_v3')
 AND action = 'ALL' 
 AND asset = 'ETH/USDT'
 group by  address) b
where  balance_usd > 0）"
