label_name,desc
Total Token Balance,The balance corresponds to all Token items in the wallet
Token Balance,The balance corresponds to a single Token item in the wallet
Total Token Volume ,The total transaction amount of all tokens in the wallet
Token Volume,The total transaction amount of a single Token income and expenditure in the wallet
Total Token Activity,The number of interactions of wallet addresses on the chain
Token Activity,The number of interactions of the wallet address on the chain
Token Holding Time,The holding time of a single token in the wallet
LP Balance,The total balance of a single LP asset in the wallet
LP Volume,The total transaction amount of the income and expenditure of a single LP asset in the wallet
LP Activity,The number of LP asset interactions of the wallet address on the chain
LP Holding Time,The time period of having added liquidity of a single LP asset in the wallet
Total NFT Balance,The total number of all NFT items in the wallet
NFT Balance,The number of a single NFT item in the wallet. eg: There are 5 CryptoPunk NFTs in the wallet --> CryptoPunk Balance L1
Total NFT Volume,The total number of transactions of all NFT projects in the wallet
NFT Volume,The number of transactions of a single NFT item in the wallet
Total NFT Activity,The number of interactions of wallet addresses on the chain
NFT Activity,The number of interactions of wallet addresses on the chain
NFT Holding Time,The holding time of a single NFT item in the wallet
Token Balance Lv1,"Has an ETH and Erc20 Token balance of $100-$1,000."
Token Millionaire,"Has an ETH and Erc20 Token balance of at least $1,000,000."
Token Billionaire,"Has an ETH and Erc20 Token balance of at least $1,000,000,000"
Token High Balance,In the top 10% of all existing Ethereum accounts regarding the account's balance.
Token Whale,In the top 100 of all existing Ethereum accounts regarding the account's balance.
Token Vol Lv1,"Has an ETH and Erc20 Token volume of $100-$1,000."
Token Million Trader,Has an ETH and Erc20 Token volume of at least 1 million.
Token Billion Trader,Has an ETH and Erc20 Token volume of at least 1 Billion.
Token Medium Trader,Top 10% of traders based on volume of ETH and Erc20 Token trades.
Token Heavy Trader,Top 2.5% of traders based on volume of ETH and Erc20 Token trades.
Token Elite Trader,Top 1%of traders on all Platform based on volume of ETH and Erc20 Token trades.
Token Legendary Trader,Top 0.1% of traders on all Platform based on volume of ETH and Erc20 Token trades.
DEX Vol Lv1,"Has $100-$1,000 volume of trades on all Decentralized Exchanges."
Million DEX Trader,Has at least 1 million volume of trades on all Decentralized Exchanges.
Billion DEX Trader,Has at least 1 Billion volume of trades on all Decentralized Exchanges.
Medium DEX Trader,Top 10% of traders on all Decentralized Exchanges based on volume of trades.
Heavy DEX Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of trades.
Elite DEX Trader,Top 1%of traders on all Decentralized Exchanges based on volume of trades.
Legendary DEX Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of trades.
DEX Vol Lv1,"Has $100-$1,000 volume of trades on all Decentralized Exchanges."
Million DEX Trader,Has at least 1 million volume of trades on all Decentralized Exchanges.
Billion DEX Trader,Has at least 1 Billion volume of trades on all Decentralized Exchanges.
Medium DEX Trader,Top 10% of traders on all Decentralized Exchanges based on volume of trades.
Heavy DEX Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of trades.
Elite DEX Trader,Top 1%of traders on all Decentralized Exchanges based on volume of trades.
Legendary DEX Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of trades.
DEX Vol Lv1,"Has $100-$1,000 volume of trades on all Decentralized Exchanges."
Million DEX Trader,Has at least 1 million volume of trades on all Decentralized Exchanges.
Billion DEX Trader,Has at least 1 Billion volume of trades on all Decentralized Exchanges.
Medium DEX Trader,Top 10% of traders on all Decentralized Exchanges based on volume of trades.
Heavy DEX Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of trades.
Elite DEX Trader,Top 1%of traders on all Decentralized Exchanges based on volume of trades.
Legendary DEX Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of trades.
Swap Vol Lv1,"Has $100-$1,000 volume of Swap trades on all Decentralized Exchanges."
Million Swap Trader,Has at least 1 million volume of Swap trades on all Decentralized Exchanges.
Billion Swap Trader,Has at least 1 Billion volume of Swap trades on all Decentralized Exchanges.
Medium Swap Trader,Top 10% of traders on all Decentralized Exchanges based on volume of Swap trades.
Heavy Swap Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of Swap trades.
Elite Swap Trader,Top 1%of traders on all Decentralized Exchanges based on volume of Swap trades.
Legendary Swap Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of Swap trades.
Swap Vol Lv1,"Has $100-$1,000 volume of LP trades on all Decentralized Exchanges."
Million LP Trader,Has at least 1 million volume of LP trades on all Decentralized Exchanges.
Billion LP Trader,Has at least 1 Billion volume of LP trades on all Decentralized Exchanges.
Medium LP Trader,Top 10% of traders on all Decentralized Exchanges based on volume of LP trades.
Heavy LP Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of LP trades.
Elite LP Trader,Top 1%of traders on all Decentralized Exchanges based on volume of LP trades.
Legendary LP Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of LP trades.
StakeLP Vol L1,"Has $100-$1,000 volume of StakeLP trades on all Decentralized Exchanges."
Medium StakeLP Trader,Top 10% of traders on all Decentralized Exchanges based on volume of StakeLP trades.
Heavy StakeLP Trader,Top 2.5% of traders on all Decentralized Exchanges based on volume of StakeLP trades.
Uniswap Elite StakeLP Trader,Top 1%of traders on all Decentralized Exchanges based on volume of StakeLP trades.
Uniswap Legendary StakeLP Trader,Top 0.1% of traders on all Decentralized Exchanges based on volume of StakeLP trades.
Uniswap Vol Lv1,"Made trades on Unhaswap, and has $100-$1,000 in number of volume traded."
Uniswap Million Trader,"Made trades on Unhaswap, and has $1 Million in number of volume traded."
Uniswap Billion Trader,"Made trades on Unhaswap, and has $1 Billion in number of volume traded."
Uniswap Medium Trader,"Made trades on Uniswap, and is in the top 10% in number of volume traded."
Uniswap Heavy Trader,"Made trades on Uniswap, and is in the top 2.5% in number of volume traded."
Uniswap Elite Trader,"Made trades on Uniswap, and is in the top 1% in number of volume traded."
Uniswap Legendary Trader,"Made trades on Uniswap, and is in the top 0.1% in number of volume traded."
Uniswap Vol Lv1,"Made trades on Unhaswap, and has $100-$1,000 in number of volume traded."
Uniswap Million Trader,"Made trades on Unhaswap, and has $1 Million in number of volume traded."
Uniswap Billion Trader,"Made trades on Unhaswap, and has $1 Billion in number of volume traded."
Uniswap Medium Trader,"Made trades on Uniswap, and is in the top 10% in number of volume traded."
Uniswap Heavy Trader,"Made trades on Uniswap, and is in the top 2.5% in number of volume traded."
Uniswap Elite Trader,"Made trades on Uniswap, and is in the top 1% in number of volume traded."
Uniswap Legendary Trader,"Made trades on Uniswap, and is in the top 0.1% in number of volume traded."
Uniswap Swap Vol Lv1,"Made trades on Unhaswap, and has $100-$1,000 in number of swap volume traded."
Uniswap Million Swap Trader,"Made trades on Unhaswap, and has $1 Million in number of swap volume traded."
Uniswap Billion Swap Trader,"Made trades on Unhaswap, and has $1 Billion in number of swap volume traded."
Uniswap Medium Swap Trader,"Made trades on Uniswap, and is in the top 10% in number of swap volume traded."
Uniswap Heavy Swap Trader,"Made trades on Uniswap, and is in the top 2.5% in number of swap volume traded."
Uniswap Elite Swap Trader,"Made trades on Uniswap, and is in the top 1% in number of swap volume traded."
Uniswap Legendary Swap Trader,"Made trades on Uniswap, and is in the top 0.1% in number of swap volume traded."
Uniswap LP Vol Lv1,"Made trades on Unhaswap, and has $100-$1,000 in number of LP volume traded."
Uniswap Million LP Trader,"Made trades on Unhaswap, and has $1 Million in number of LP volume traded."
Uniswap Billion LP Trader,"Made trades on Unhaswap, and has $1 Billion in number of LP volume traded."
Uniswap Medium LPTrader,"Made trades on Uniswap, and is in the top 10% in number of LP volume traded."
Uniswap Heavy LP Trader,"Made trades on Uniswap, and is in the top 2.5% in number of LP volume traded."
Uniswap Elite LP Trader,"Made trades on Uniswap, and is in the top 1% in number of LP volume traded."
Uniswap Legendary LP Trader,"Made trades on Uniswap, and is in the top 0.1% in number of LP volume traded."
Balancer Vol Lv1,"Made trades on Balancer, and has $100-$1,000 in number of volume traded."
Balancer Million Trader,"Made trades on Balancer, and has $1 Million in number of volume traded."
Balancer Billion Trader,"Made trades on Balancer, and has $1 Billion in number of volume traded."
Balancer Medium Trader,"Made trades on Balancer, and is in the top 10% in number of volume traded."
 Balancer Heavy Trader,"Made trades on Balancer, and is in the top 2.5% in number of volume traded."
 Balancer Elite Trader,"Made trades on Balancer, and is in the top 1% in number of volume traded."
 Balancer Legendary Trader,"Made trades on Balancer, and is in the top 0.1% in number of volume traded."
Balancer Vol Lv1,"Made trades on Balancer, and has $100-$1,000 in number of volume traded."
Balancer Million Trader,"Made trades on Balancer, and has $1 Million in number of volume traded."
Balancer Billion Trader,"Made trades on Balancer, and has $1 Billion in number of volume traded."
Balancer Medium Trader,"Made trades on Balancer, and is in the top 10% in number of volume traded."
 Balancer Heavy Trader,"Made trades on Balancer, and is in the top 2.5% in number of volume traded."
 Balancer Elite Trader,"Made trades on Balancer, and is in the top 1% in number of volume traded."
 Balancer Legendary Trader,"Made trades on Balancer, and is in the top 0.1% in number of volume traded."
 Balancer Swap Vol Lv1,"Made trades on Balancer, and has $100-$1,000 in number of swap volume trade."
Balancer Million Swap Trader,"Made trades on Balancer, and has $1 Million in number of swap volume traded."
Balancer Billion Swap Trader,"Made trades on Balancer, and has $1 Billion in number of swap volume traded."
 Balancer Medium Swap Trader,"Made trades on Balancer, and is in the top 10% in number of swap volume trade."
 Balancer Heavy Swap Trader,"Made trades on Balancer, and is in the top 2.5% in number of swap volume trade."
 Balancer Elite Swap Trader,"Made trades on Balancer, and is in the top 1% in number of swap volume trade."
 Balancer Legendary Swap Trader,"Made trades on Balancer, and is in the top 0.1% in number of swap volume trade."
Balancer LP Vol Lv1,"Made trades on Balancer, and has $100-$1,000 in number of LP volume trade."
Balancer Million LP Trader,"Made trades on Balancer, and has $1 Million in number of LP volume traded."
Balancer Billion LP Trader,"Made trades on Balancer, and has $1 Billion in number of LP volume traded."
Balancer Medium LP Trader,"Made trades on Balancer, and is in the top 10% in number of LP volume trade."
Balancer Heavy LP Trader,"Made trades on Balancer, and is in the top 2.5% in number of LP volume trade."
Balancer Elite LP Trader,"Made trades on Balancer, and is in the top 1% in number of LP volume trade."
Balancer Legendary LP Trader,"Made trades on Balancer, and is in the top 0.1% in number of LP volume trade."
Balancer StakeLP Vol L1,"Made trades on Balancer, and is $100-$1,000 in number of StakeLP volume trade."
Balancer Medium StakeLP Trader,"Made trades on Balancer, and is in the top 10% in number of StakeLP volume trade."
Balancer Heavy StakeLP Trader,"Made trades on Balancer, and is in the top 2.5% in number of StakeLP  volume trade."
Balancer Elite StakeLP Trader,"Made trades on Balancer, and is in the top 1% in number of StakeLP  volume trade."
Balancer Legendary StakeLP Trader,"Made trades on Balancer, and is in the top 0.1% in number of StakeLP  volume trade."
 Sushiswap Vol Lv1,"Made trades on Sushhaswap, and has $100-$1,000 in number of volume traded."
Sushiswap Million Trader,"Made trades on Sushhaswap, and has $1 Million in number of volume traded."
Sushiswap Billion Trader,"Made trades on Sushhaswap, and has $1 Billion in number of volume traded."
 Sushiswap Medium Trader,"Made trades on Sushiswap, and is in the top 10% in number of volume traded."
 Sushiswap Heavy Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of volume traded."
 Sushiswap Elite Trader,"Made trades on Sushiswap, and is in the top 1% in number of volume traded."
 Sushiswap Legendary Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of volume traded."
 Sushiswap Vol Lv1,"Made trades on Sushhaswap, and has $100-$1,000 in number of volume traded."
Sushiswap Million Trader,"Made trades on Sushhaswap, and has $1 Million in number of volume traded."
Sushiswap Billion Trader,"Made trades on Sushhaswap, and has $1 Billion in number of volume traded."
 Sushiswap Medium Trader,"Made trades on Sushiswap, and is in the top 10% in number of volume traded."
 Sushiswap Heavy Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of volume traded."
 Sushiswap Elite Trader,"Made trades on Sushiswap, and is in the top 1% in number of volume traded."
 Sushiswap Legendary Trader,"Made trades on Sushiswap, and is in the top 0.1% in number of volume traded."
 Sushiswap Swap Vol Lv1,"Made trades on Sushhaswap, and has $100-$1,000 in number of swap volume traded."
Sushiswap Million Swap Trader,"Made trades on Sushhaswap, and has $1 Million in number of swap volume traded."
Sushiswap Billion Swap Trader,"Made trades on Sushhaswap, and has $1 Billion in number of swap volume traded."
 Sushiswap Medium Swap Trader,"Made trades on Sushiswap, and is in the top 10% in number of swap volume traded."
 Sushiswap Heavy Swap Trader,"Made trades on Sushiswap, and is in the top 2.5% in number of swap volume traded."
